Tribunal;Categoria;Sub Categoria;Indicador;Chave
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DPE - Despesa com Pessoal e Encargos;dpe
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DPEAJud - Despesas com Pessoal e Encargos do Quadro Ativo na Área Judiciária;dpeajud
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DPEAAdm - Despesas com Pessoal e Encargos do Quadro Ativo na Área Administrativa;dpeaadm
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DPEI - Despesas com Pessoal e Encargos do Quadro Inativo;dpei
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DBen - Despesas com Benefícios;dben
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DBenAJud - Despesas com Benefícios do Quadro Ativo na Área Judiciária;dbenajud
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DBenAAdm - Despesas com Benefícios do Quadro Ativo na área administrativa;dbenaadm
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DBenI - Despesas com Benefícios do Quadro Inativo;dbeni
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DTer - Despesas com Terceirizados;dter
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DEst - Despesas com Estagiários;dest
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;Dip - Outras Despesas Indenizatórias e Indiretas com Recursos Humanos;dip
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DIPJud - Outras Despesas Indenizatórias Indiretas com Recursos Humanos na área judiciária;dipjud
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DIPAdm - Outras Despesas Indenizatórias Indiretas com Recursos Humanos na área administrativa;dipadm
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DCC - Despesas com Cargos em Comissão;dcc
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DCCJud - Despesas com Cargos em Comissão na área judiciária;dccjud
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DCCAdm - Despesas com Cargos em Comissão na área administrativa;dccadm
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DFC - Despesas com Função de Confiança;dfc
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DFCJud - Despesas com Funções de Confiança na área judiciária;dfcjud
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DFCAdm - Despesas com Funções de Confiança na área administrativa;dfcadm
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DMag - Despesa com Recursos Humanos de Magistrados;dmag
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;DESPESAS;DServ - Despesa com Recursos Humanos de Servidores;dserv
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;OUTRAS DESPESAS;ODC - Outras Despesas Correntes;odc
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;OUTRAS DESPESAS;Dk - Despesa de Capital;dk
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;OUTRAS DESPESAS;DPCO - Despesas com Projetos de Construção e Obras;dpco
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;OUTRAS DESPESAS;DInf1 - Despesa com Aquisições em Tecnologia de Informação e Comunicação;dinf1
TRIBUNAL SUPERIOR DO TRABALHO;RECURSOS FINANCEIROS;OUTRAS DESPESAS;DInf2 - Despesa com Custeio da Tecnologia de Informação e Comunicação;dinf2
